Arrestados segun edad sexo y nacionalidad	Cantidad	Mes	Año	
Edad 1 a 17	179	Enero a Marzo	2017	
Edad 18 a 25	1723	Enero a Marzo	2017	
Edad 26 a 30	1119	Enero a Marzo	2017	
Edad 31 a 35	937	Enero a Marzo	2017	
Edad 36 a 40	670	Enero a Marzo	2017	
Edad 41 a 45	467	Enero a Marzo	2017	
Edad 46 a 50	286	Enero a Marzo	2017	
Edad 51 a mas	225	Enero a Marzo	2017	
Hombres 	5495	Enero a Marzo	2017	
Mujeres	111	Enero a Marzo	2017	
Dominicanos	5738	Enero a Marzo	2017	
Extranjeros	398	Enero a Marzo	2017	
Edad 1 a 17	145	Abril a Junio	2017	
Edad 18 a 25	1433	Abril a Junio	2017	
Edad 26 a 30	1088	Abril a Junio	2017	
Edad 31 a 35	896	Abril a Junio	2017	
Edad 36 a 40	711	Abril a Junio	2017	
Edad 41 a 45	474	Abril a Junio	2017	
Edad 46 a 50	297	Abril a Junio	2017	
Edad 51 a mas	274	Abril a Junio	2017	
Hombres 	5201	Abril a Junio	2017	
Mujeres	117	Abril a Junio	2017	
Dominicanos	5298	Abril a Junio	2017	
Extranjeros	377	Abril a Junio	2017	
Edad 1 a 17	108	Julio a Septiembre	2017	
Edad 18 a 25	1405	Julio a Septiembre	2017	
Edad 26 a 30	1027	Julio a Septiembre	2017	
Edad 31 a 35	833	Julio a Septiembre	2017	
Edad 36 a 40	597	Julio a Septiembre	2017	
Edad 41 a 45	397	Julio a Septiembre	2017	
Edad 46 a 50	257	Julio a Septiembre	2017	
Edad 51 a mas	194	Julio a Septiembre	2017	
Hombres 	4747	Julio a Septiembre	2017	
Mujeres	73	Julio a Septiembre	2017	
Dominicanos	4808	Julio a Septiembre	2017	
Extranjeros	502	Julio a Septiembre	2017	
Edad 1 a 17	125	Octubre a Diciembre	2017	
Edad 18 a 25	1263	Octubre a Diciembre	2017	
Edad 26 a 30	943	Octubre a Diciembre	2017	
Edad 31 a 35	698	Octubre a Diciembre	2017	
Edad 36 a 40	546	Octubre a Diciembre	2017	
Edad 41 a 45	358	Octubre a Diciembre	2017	
Edad 46 a 50	226	Octubre a Diciembre	2017	
Edad 51 a mas	167	Octubre a Diciembre	2017	
Hombres 	4207	Octubre a Diciembre	2017	
Mujeres	69	Octubre a Diciembre	2017	
Dominicanos	4129	Octubre a Diciembre	2017	
Extranjeros	486	Octubre a Diciembre	2017	
Edad 1 a 17	110	Enero a Marzo	2018	
Edad 18 a 25	1278	Enero a Marzo	2018	
Edad 26 a 30	548	Enero a Marzo	2018	
Edad 31 a 35	756	Enero a Marzo	2018	
Edad 36 a 40	591	Enero a Marzo	2018	
Edad 41 a 45	240	Enero a Marzo	2018	
Edad 46 a 50	192	Enero a Marzo	2018	
Edad 51 a mas	200	Enero a Marzo	2018	
Hombres 	3865	Enero a Marzo	2018	
Mujeres	50	Enero a Marzo	2018	
Dominicanos	4276	Enero a Marzo	2018	
Extranjeros	238	Enero a Marzo	2018	
Edad 1 a 17	80	Abril a Junio	2018	
Edad 18 a 25	1092	Abril a Junio	2018	
Edad 26 a 30	875	Abril a Junio	2018	
Edad 31 a 35	548	Abril a Junio	2018	
Edad 36 a 40	646	Abril a Junio	2018	
Edad 41 a 45	484	Abril a Junio	2018	
Edad 46 a 50	233	Abril a Junio	2018	
Edad 51 a mas	190	Abril a Junio	2018	
Hombres 	4101	Abril a Junio	2018	
Mujeres	47	Abril a Junio	2018	
Dominicanos	4392	Abril a Junio	2018	
Extranjeros	228	Abril a Junio	2018	
Edad 1 a 17	140	Julio a Septiembre	2018	
Edad 18 a 25	1340	Julio a Septiembre	2018	
Edad 26 a 30	975	Julio a Septiembre	2018	
Edad 31 a 35	893	Julio a Septiembre	2018	
Edad 36 a 40	497	Julio a Septiembre	2018	
Edad 41 a 45	251	Julio a Septiembre	2018	
Edad 46 a 50	279	Julio a Septiembre	2018	
Edad 51 a mas	184	Julio a Septiembre	2018	
Hombres 	4497	Julio a Septiembre	2018	
Mujeres	62	Julio a Septiembre	2018	
Dominicanos	4033	Julio a Septiembre	2018	
Extranjeros	209	Julio a Septiembre	2018	
Edad 1 a 17	110	Octubre a Diciembre	2018	
Edad 18 a 25	1385	Octubre a Diciembre	2018	
Edad 26 a 30	987	Octubre a Diciembre	2018	
Edad 31 a 35	820	Octubre a Diciembre	2018	
Edad 36 a 40	631	Octubre a Diciembre	2018	
Edad 41 a 45	540	Octubre a Diciembre	2018	
Edad 46 a 50	356	Octubre a Diciembre	2018	
Edad 51 a mas	418	Octubre a Diciembre	2018	
Hombres 	5194	Octubre a Diembre	2018	
Mujeres	53	Octubre a Diembre	2018	
Dominicanos	3656	Octubre a Diciembre	2018	
Extranjeros	201	Octubre a Diciembre	2018	
Edad 1 a 17	125	Enero a Marzo	2019	
Edad 18 a 25	1493	Enero a Marzo	2019	
Edad 26 a 30	955	Enero a Marzo	2019	
Edad 31 a 35	759	Enero a Marzo	2019	
Edad 36 a 40	675	Enero a Marzo	2019	
Edad 41 a 45	480	Enero a Marzo	2019	
Edad 46 a 50	288	Enero a Marzo	2019	
Edad 51 a mas	870	Enero a Marzo	2019	
Hombres 	5565	Enero a Marzo	2019	
Mujeres	116	Enero a Marzo	2019	
Dominicanos	5347	Enero a Marzo	2019	
Extranjeros	334	Enero a Marzo	2019	
Edad 1 a 17	142	Abril a Junio	2019	
Edad 18 a 25	1381	Abril a Junio	2019	
Edad 26 a 30	892	Abril a Junio	2019	
Edad 31 a 35	736	Abril a Junio	2019	
Edad 36 a 40	633	Abril a Junio	2019	
Edad 41 a 45	423	Abril a Junio	2019	
Edad 46 a 50	234	Abril a Junio	2019	
Edad 51 a mas	669	Abril a Junio	2019	
Hombres 	4984	Abril a Junio	2019	
